Rank,County,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,FIPS,Party
61,Alcona,19904,34858,43482,10942,5089,26001,Red
62,Alger,19858,38262,47548,9601,3898,26003,Red
25,Allegan,23108,50240,57831,111408,42018,26005,Red
46,Alpena,21140,36695,47256,29598,12791,26007,Red
19,Antrim,23912,43123,50424,23580,9890,26009,Red
70,Arenac,19073,36689,45376,15899,6701,26011,Red
68,Baraga,19107,40541,50549,8860,3444,26013,Red
17,Barry,24493,51869,61202,59173,22551,26015,Red
26,Bay,23049,44659,53824,107771,44603,26017,Red
23,Benzie,23649,44718,53250,17525,7298,26019,Red
18,Berrien,24025,42625,54751,156813,63054,26021,Red
71,Branch,19049,42133,50931,45248,16419,26023,Red
33,Calhoun,22166,42568,52533,136146,54016,26025,Red
28,Cass,22698,45177,54813,52293,20604,26027,Red
5,Charlevoix,28403,48704,57022,25949,10882,26029,Red
27,Cheboygan,23038,37903,45769,26152,11133,26031,Red
53,Chippewa,20309,40194,54066,38520,14329,26033,Red
76,Clare,18491,34399,42519,30926,12966,26035,Red
8,Clinton,27223,58016,69611,75382,28766,26037,Red
47,Crawford,21002,39665,45362,14074,6016,26039,Red
36,Delta,22064,41951,51442,37069,15992,26041,Red
21,Dickinson,23854,42586,54053,26168,11359,26043,Red
11,Eaton,25963,54885,66788,107759,43494,26045,Red
7,Emmet,28308,49235,61600,32694,13601,26047,Red
31,Genesee,22458,43483,54072,425790,169202,26049,Blue
50,Gladwin,20571,37936,44427,25692,10753,26051,Red
60,Gogebic,19933,33673,45182,16427,7037,26053,Red
9,Grand Traverse,27091,50647,61780,86986,35328,26055,Red
78,Gratiot,18388,40114,49989,42476,14852,26057,Red
56,Hillsdale,20006,42989,50546,46688,17792,26059,Red
80,Houghton,18267,34174,46819,36628,14232,26061,Red
35,Huron,22098,40038,49444,33118,14348,26063,Red
20,Ingham,23883,45808,61680,280895,111162,26065,Blue
67,Ionia,19386,46454,54595,63905,22144,26067,Red
51,Iosco,20513,36861,44175,25887,11757,26069,Red
57,Iron,19986,33734,44560,11817,5577,26071,Red
75,Isabella,18510,36880,55183,70311,25586,26073,Red
38,Jackson,21947,46117,56314,160248,60771,26075,Red
13,Kalamazoo,25138,44794,61622,250331,100610,26077,Blue
63,Kalkaska,19770,39350,45417,17153,6962,26079,Red
16,Kent,24791,49532,61097,602622,227239,26081,Blue
45,Keweenaw,21307,38872,46414,2156,1013,26083,Red
83,Lake,16084,31205,38996,11539,5158,26085,Red
14,Lapeer,25110,55005,63061,88319,32776,26087,Red
2,Leelanau,32194,56527,65342,21708,9255,26089,Blue
30,Lenawee,22529,48618,60028,99892,37514,26091,Red
3,Livingston,31609,72129,82637,180967,67380,26093,Red
82,Luce,17195,40041,46510,6631,2412,26095,Red
32,Mackinac,22170,39339,51376,11113,5024,26097,Red
10,Macomb,26524,53996,67423,840978,331667,26099,Red
43,Manistee,21612,40853,50101,24733,10308,26101,Red
24,Marquette,23347,45130,61798,67077,27538,26103,Blue
40,Mason,21760,40039,49131,28705,11940,26105,Red
72,Mecosta,18745,35887,48145,42798,16101,26107,Red
42,Menominee,21624,41332,49394,24029,10474,26109,Red
6,Midland,28363,51103,63299,83629,33437,26111,Red
66,Missaukee,19560,40376,46371,14849,5843,26113,Red
12,Monroe,25520,55366,66549,152021,58230,26115,Red
73,Montcalm,18569,39775,46673,63342,23432,26117,Red
69,Montmorency,19102,34447,41230,9765,4416,26119,Red
64,Muskegon,19719,40670,50101,172188,65616,26121,Blue
48,Newaygo,20870,43218,49499,48460,18406,26123,Red
1,Oakland,56138,85991,94783,1202362,483698,26125,Blue
77,Oceana,18402,39543,46424,26570,10174,26127,Red
79,Ogemaw,18321,35968,41810,21699,9283,26129,Red
44,Ontonagon,21448,35269,47330,6780,3258,26131,Red
81,Osceola,17861,38341,44613,23528,9222,26133,Red
74,Oscoda,18524,32346,39335,8640,3772,26135,Red
29,Otsego,22568,45531,54110,24164,9756,26137,Red
15,Ottawa,25045,55095,65474,263801,93775,26139,Red
49,Presque Isle,20870,37383,43797,13376,5982,26141,Red
54,Roscommon,20194,33542,40015,24449,11433,26143,Red
41,Saginaw,21662,42954,53171,200169,79011,26145,Blue
65,Sanilac,19645,40818,49005,43114,17132,26147,Red
52,Schoolcraft,20455,36925,48141,8485,3759,26149,Red
39,Shiawassee,21869,46453,54363,70648,27481,26151,Red
22,St. Clair,23828,49120,59969,163040,63841,26153,Red
55,St. Joseph,20192,44392,52586,61295,23244,26155,Red
59,Tuscola,19937,42198,50262,55729,21590,26157,Red
37,Van Buren,22002,44435,54499,76258,28928,26159,Red
4,Washtenaw,31316,59065,82184,344791,137193,26161,Blue
34,Wayne,22125,42241,52946,1820584,702749,26163,Blue
58,Wexford,19952,39997,46659,32735,13021,26165,Red
