COUNTY,CASE_STATUS,Cases,Deaths,Updated,FIPS
Alcona,Confirmed,357,19,3/9/2021 13:56,26001
Alger,Confirmed,279,1,3/9/2021 13:56,26003
Allegan,Confirmed,6682,95,3/9/2021 13:56,26005
Alpena,Confirmed,1263,47,3/9/2021 13:56,26007
Antrim,Confirmed,785,15,3/9/2021 13:56,26009
Arenac,Confirmed,683,25,3/9/2021 13:56,26011
Baraga,Confirmed,509,32,3/9/2021 13:56,26013
Barry,Confirmed,3486,46,3/9/2021 13:56,26015
Bay,Confirmed,7266,282,3/9/2021 13:56,26017
Benzie,Confirmed,797,31,3/9/2021 13:56,26019
Berrien,Confirmed,10847,226,3/9/2021 13:56,26021
Branch,Confirmed,3460,83,3/9/2021 13:56,26023
Calhoun,Confirmed,8556,221,3/9/2021 13:56,26025
Cass,Confirmed,3682,61,3/9/2021 13:56,26027
Charlevoix,Confirmed,845,13,3/9/2021 13:56,26029
Cheboygan,Confirmed,849,38,3/9/2021 13:56,26031
Chippewa,Confirmed,733,23,3/9/2021 13:56,26033
Clare,Confirmed,1412,68,3/9/2021 13:56,26035
Clinton,Confirmed,4486,68,3/9/2021 13:56,26037
Crawford,Confirmed,573,5,3/9/2021 13:56,26039
Delta,Confirmed,2680,66,3/9/2021 13:56,26041
Dickinson,Confirmed,2136,55,3/9/2021 13:56,26043
Eaton,Confirmed,5782,148,3/9/2021 13:56,26045
Emmet,Confirmed,1274,38,3/9/2021 13:56,26047
Genesee,Confirmed,22158,709,3/9/2021 13:56,26049
Gladwin,Confirmed,1266,40,3/9/2021 13:56,26051
Gogebic,Confirmed,945,20,3/9/2021 13:56,26053
Grand Traverse,Confirmed,3919,61,3/9/2021 13:56,26055
Gratiot,Confirmed,2474,100,3/9/2021 13:56,26057
Hillsdale,Confirmed,3106,73,3/9/2021 13:56,26059
Houghton,Confirmed,2155,32,3/9/2021 13:56,26061
Huron,Confirmed,1679,56,3/9/2021 13:56,26063
Ingham,Confirmed,15844,276,3/9/2021 13:56,26065
Ionia,Confirmed,4175,69,3/9/2021 13:56,26067
Iosco,Confirmed,1133,64,3/9/2021 13:56,26069
Iron,Confirmed,866,40,3/9/2021 13:56,26071
Isabella,Confirmed,3605,72,3/9/2021 13:56,26073
Jackson,Confirmed,9416,219,3/9/2021 13:56,26075
Kalamazoo,Confirmed,13585,285,3/9/2021 13:56,26077
Kalkaska,Confirmed,603,15,3/9/2021 13:56,26079
Kent,Confirmed,49455,662,3/9/2021 13:56,26081
Keweenaw,Confirmed,116,1,3/9/2021 13:56,26083
Lake,Confirmed,352,10,3/9/2021 13:56,26085
Lapeer,Confirmed,4499,120,3/9/2021 13:56,26087
Leelanau,Confirmed,763,15,3/9/2021 13:56,26089
Lenawee,Confirmed,6101,118,3/9/2021 13:56,26091
Livingston,Confirmed,9530,135,3/9/2021 13:56,26093
Luce,Confirmed,132,0,3/9/2021 13:56,26095
Mackinac,Confirmed,294,3,3/9/2021 13:56,26097
Macomb,Confirmed,56296,1879,3/9/2021 13:56,26099
Manistee,Confirmed,757,18,3/9/2021 13:56,26101
Marquette,Confirmed,3476,55,3/9/2021 13:56,26103
Mason,Confirmed,1160,26,3/9/2021 13:56,26105
Mecosta,Confirmed,1945,20,3/9/2021 13:56,26107
Menominee,Confirmed,1624,36,3/9/2021 13:56,26109
